Area of Residence,ICD 10 Diagnostic Group,Year,Mortality Rate(per 1000)
South Tipperary,Diseases of the respiratory system,2015,0.76
South Tipperary,Diseases of the respiratory system,2016,0.92
South Tipperary,External causes of injury and poisoning,2007,0.33
South Tipperary,External causes of injury and poisoning,2008,0.38
South Tipperary,External causes of injury and poisoning,2009,0.41
South Tipperary,External causes of injury and poisoning,2010,0.38
South Tipperary,External causes of injury and poisoning,2011,0.39
South Tipperary,External causes of injury and poisoning,2012,0.38
South Tipperary,External causes of injury and poisoning,2013,0.31
South Tipperary,External causes of injury and poisoning,2014,0.4
South Tipperary,External causes of injury and poisoning,2015,0.45
South Tipperary,External causes of injury and poisoning,2016,0.33
Waterford City,Neoplasms,2007,1.89
Waterford City,Neoplasms,2008,2.14
Waterford City,Neoplasms,2009,1.92
Waterford City,Neoplasms,2010,1.94
Waterford City,Neoplasms,2011,2.3
Waterford City,Neoplasms,2012,1.82
Waterford City,Neoplasms,2013,2.34
Waterford City,Neoplasms,2014,2.73
Waterford City,Neoplasms,2015,2.53
Waterford City,Neoplasms,2016,2.05
Waterford City,Diseases of the circulatory system,2007,1.98
Waterford City,Diseases of the circulatory system,2008,1.84
Waterford City,Diseases of the circulatory system,2009,2.01
Waterford City,Diseases of the circulatory system,2010,1.78
Waterford City,Diseases of the circulatory system,2011,2.12
Waterford City,Diseases of the circulatory system,2012,1.85
Waterford City,Diseases of the circulatory system,2013,2.33
Waterford City,Diseases of the circulatory system,2014,1.97
Waterford City,Diseases of the circulatory system,2015,2.22
Waterford City,Diseases of the circulatory system,2016,2.1
Waterford City,Diseases of the respiratory system,2007,0.79
Waterford City,Diseases of the respiratory system,2008,0.69
Waterford City,Diseases of the respiratory system,2009,0.85
Waterford City,Diseases of the respiratory system,2010,0.9
Waterford City,Diseases of the respiratory system,2011,0.73
Waterford City,Diseases of the respiratory system,2012,0.79
Waterford City,Diseases of the respiratory system,2013,0.55
Waterford City,Diseases of the respiratory system,2014,0.72
Waterford City,Diseases of the respiratory system,2015,0.69
Waterford City,Diseases of the respiratory system,2016,0.82
Waterford City,External causes of injury and poisoning,2007,0.47
Waterford City,External causes of injury and poisoning,2008,0.23
Waterford City,External causes of injury and poisoning,2009,0.61
Waterford City,External causes of injury and poisoning,2010,0.34
Waterford City,External causes of injury and poisoning,2011,0.34
Waterford City,External causes of injury and poisoning,2012,0.43
Waterford City,External causes of injury and poisoning,2013,0.26
Waterford City,External causes of injury and poisoning,2014,0.25
Waterford City,External causes of injury and poisoning,2015,0.38
Waterford City,External causes of injury and poisoning,2016,0.33
Waterford County,Neoplasms,2007,1.93
Waterford County,Neoplasms,2008,2.37
Waterford County,Neoplasms,2009,2.21
Waterford County,Neoplasms,2010,2.22
Waterford County,Neoplasms,2011,1.88
Waterford County,Neoplasms,2012,2.07
Waterford County,Neoplasms,2013,2.32
Waterford County,Neoplasms,2014,2.38
Waterford County,Neoplasms,2015,1.78
Waterford County,Neoplasms,2016,1.9
Waterford County,Diseases of the circulatory system,2007,2.17
Waterford County,Diseases of the circulatory system,2008,2.31
Waterford County,Diseases of the circulatory system,2009,2.03
Waterford County,Diseases of the circulatory system,2010,2.07
Waterford County,Diseases of the circulatory system,2011,2.09
Waterford County,Diseases of the circulatory system,2012,2.24
Waterford County,Diseases of the circulatory system,2013,2.09
Waterford County,Diseases of the circulatory system,2014,1.94
Waterford County,Diseases of the circulatory system,2015,1.83
Waterford County,Diseases of the circulatory system,2016,1.87
Waterford County,Diseases of the respiratory system,2007,0.82
Waterford County,Diseases of the respiratory system,2008,0.88
Waterford County,Diseases of the respiratory system,2009,1.04
Waterford County,Diseases of the respiratory system,2010,0.62
Waterford County,Diseases of the respiratory system,2011,0.62
Waterford County,Diseases of the respiratory system,2012,0.83
Waterford County,Diseases of the respiratory system,2013,0.51
Waterford County,Diseases of the respiratory system,2014,0.73
Waterford County,Diseases of the respiratory system,2015,0.71
Waterford County,Diseases of the respiratory system,2016,0.79
Waterford County,External causes of injury and poisoning,2007,0.35
Waterford County,External causes of injury and poisoning,2008,0.43
Waterford County,External causes of injury and poisoning,2009,0.27
Waterford County,External causes of injury and poisoning,2010,0.41
Waterford County,External causes of injury and poisoning,2011,0.37
Waterford County,External causes of injury and poisoning,2012,0.31
Waterford County,External causes of injury and poisoning,2013,0.26
Waterford County,External causes of injury and poisoning,2014,0.3
Waterford County,External causes of injury and poisoning,2015,0.27
Waterford County,External causes of injury and poisoning,2016,0.34
Galway City,Neoplasms,2007,1.85
Galway City,Neoplasms,2008,1.44
Galway City,Neoplasms,2009,0.93
Galway City,Neoplasms,2010,1.41
Galway City,Neoplasms,2011,2.06
Galway City,Neoplasms,2012,1.26
Galway City,Neoplasms,2013,1.57
Galway City,Neoplasms,2014,1.92
Galway City,Neoplasms,2015,1.99
Galway City,Neoplasms,2016,1.88
Galway City,Diseases of the circulatory system,2007,1.94
Galway City,Diseases of the circulatory system,2008,1.28
Galway City,Diseases of the circulatory system,2009,1.12
Galway City,Diseases of the circulatory system,2010,1.63
Galway City,Diseases of the circulatory system,2011,1.77
Galway City,Diseases of the circulatory system,2012,1.46
Galway City,Diseases of the circulatory system,2013,1.64
Galway City,Diseases of the circulatory system,2014,1.69
Galway City,Diseases of the circulatory system,2015,1.87
Galway City,Diseases of the circulatory system,2016,1.4
Galway City,Diseases of the respiratory system,2007,0.9
Galway City,Diseases of the respiratory system,2008,0.57
Galway City,Diseases of the respiratory system,2009,0.35
Galway City,Diseases of the respiratory system,2010,0.46
Galway City,Diseases of the respiratory system,2011,0.64
Galway City,Diseases of the respiratory system,2012,0.44
Galway City,Diseases of the respiratory system,2013,0.71
Galway City,Diseases of the respiratory system,2014,0.73
Galway City,Diseases of the respiratory system,2015,0.67
Galway City,Diseases of the respiratory system,2016,0.63
Galway City,External causes of injury and poisoning,2007,0.49
Galway City,External causes of injury and poisoning,2008,0.37
Galway City,External causes of injury and poisoning,2009,0.23
Galway City,External causes of injury and poisoning,2010,0.3
Galway City,External causes of injury and poisoning,2011,0.37
Galway City,External causes of injury and poisoning,2012,0.21
Galway City,External causes of injury and poisoning,2013,0.29
Galway City,External causes of injury and poisoning,2014,0.47
Galway City,External causes of injury and poisoning,2015,0.34
Galway City,External causes of injury and poisoning,2016,0.42
Galway County,Neoplasms,2007,1.85
Galway County,Neoplasms,2008,2.0
Galway County,Neoplasms,2009,1.98
Galway County,Neoplasms,2010,1.77
Galway County,Neoplasms,2011,1.77
Galway County,Neoplasms,2012,2.01
Galway County,Neoplasms,2013,1.78
Galway County,Neoplasms,2014,2.0
Galway County,Neoplasms,2015,1.81
Galway County,Neoplasms,2016,1.91
Galway County,Diseases of the circulatory system,2007,2.08
Galway County,Diseases of the circulatory system,2008,2.65
Galway County,Diseases of the circulatory system,2009,2.37
Galway County,Diseases of the circulatory system,2010,2.09
Galway County,Diseases of the circulatory system,2011,1.77
Galway County,Diseases of the circulatory system,2012,2.03
Galway County,Diseases of the circulatory system,2013,2.01
Galway County,Diseases of the circulatory system,2014,1.81
Galway County,Diseases of the circulatory system,2015,1.86
Galway County,Diseases of the circulatory system,2016,1.91
Galway County,Diseases of the respiratory system,2007,0.64
Galway County,Diseases of the respiratory system,2008,0.99
Galway County,Diseases of the respiratory system,2009,0.8
Galway County,Diseases of the respiratory system,2010,0.67
Galway County,Diseases of the respiratory system,2011,0.77
Galway County,Diseases of the respiratory system,2012,0.76
Galway County,Diseases of the respiratory system,2013,0.76
Galway County,Diseases of the respiratory system,2014,0.73
Galway County,Diseases of the respiratory system,2015,0.88
Galway County,Diseases of the respiratory system,2016,0.68
Galway County,External causes of injury and poisoning,2007,0.33
Galway County,External causes of injury and poisoning,2008,0.4
Galway County,External causes of injury and poisoning,2009,0.39
Galway County,External causes of injury and poisoning,2010,0.34
Galway County,External causes of injury and poisoning,2011,0.41
Galway County,External causes of injury and poisoning,2012,0.41
Galway County,External causes of injury and poisoning,2013,0.35
Galway County,External causes of injury and poisoning,2014,0.38
Galway County,External causes of injury and poisoning,2015,0.37
Galway County,External causes of injury and poisoning,2016,0.3
Leitrim,Neoplasms,2007,1.73
Leitrim,Neoplasms,2008,2.35
Leitrim,Neoplasms,2009,2.32
Leitrim,Neoplasms,2010,2.11
Leitrim,Neoplasms,2011,2.02
Leitrim,Neoplasms,2012,1.19
Leitrim,Neoplasms,2013,2.04
Leitrim,Neoplasms,2014,1.82
Leitrim,Neoplasms,2015,2.11
Leitrim,Neoplasms,2016,2.31
Leitrim,Diseases of the circulatory system,2007,2.44
Leitrim,Diseases of the circulatory system,2008,2.82
Leitrim,Diseases of the circulatory system,2009,2.16
Leitrim,Diseases of the circulatory system,2010,2.33
Leitrim,Diseases of the circulatory system,2011,2.24
Leitrim,Diseases of the circulatory system,2012,2.06
Leitrim,Diseases of the circulatory system,2013,2.27
Leitrim,Diseases of the circulatory system,2014,1.99
Leitrim,Diseases of the circulatory system,2015,2.22
Leitrim,Diseases of the circulatory system,2016,2.3
Leitrim,Diseases of the respiratory system,2007,0.92
Leitrim,Diseases of the respiratory system,2008,1.32
Leitrim,Diseases of the respiratory system,2009,0.87
Leitrim,Diseases of the respiratory system,2010,0.82
Leitrim,Diseases of the respiratory system,2011,1.09
Leitrim,Diseases of the respiratory system,2012,0.9
Leitrim,Diseases of the respiratory system,2013,0.58
Leitrim,Diseases of the respiratory system,2014,0.7
Leitrim,Diseases of the respiratory system,2015,0.91
Leitrim,Diseases of the respiratory system,2016,0.85
Leitrim,External causes of injury and poisoning,2007,0.29
Leitrim,External causes of injury and poisoning,2008,0.46
Leitrim,External causes of injury and poisoning,2009,0.34
Leitrim,External causes of injury and poisoning,2010,0.59
Leitrim,External causes of injury and poisoning,2011,0.46
Leitrim,External causes of injury and poisoning,2012,0.53
Leitrim,External causes of injury and poisoning,2013,0.43
Leitrim,External causes of injury and poisoning,2014,0.24
Leitrim,External causes of injury and poisoning,2015,0.33
Leitrim,External causes of injury and poisoning,2016,0.33
Mayo,Neoplasms,2007,1.65
Mayo,Neoplasms,2008,2.6
Mayo,Neoplasms,2009,1.61
Mayo,Neoplasms,2010,1.99
Mayo,Neoplasms,2011,1.82
Mayo,Neoplasms,2012,1.8
Mayo,Neoplasms,2013,1.89
Mayo,Neoplasms,2014,1.97
Mayo,Neoplasms,2015,1.96
Mayo,Neoplasms,2016,1.85
Mayo,Diseases of the circulatory system,2007,2.42
Mayo,Diseases of the circulatory system,2008,3.31
Mayo,Diseases of the circulatory system,2009,2.15
Mayo,Diseases of the circulatory system,2010,2.3
Mayo,Diseases of the circulatory system,2011,2.18
Mayo,Diseases of the circulatory system,2012,2.24
Mayo,Diseases of the circulatory system,2013,2.33
Mayo,Diseases of the circulatory system,2014,1.86
Mayo,Diseases of the circulatory system,2015,2.07
Mayo,Diseases of the circulatory system,2016,2.07
Mayo,Diseases of the respiratory system,2007,0.7
Mayo,Diseases of the respiratory system,2008,0.95
Mayo,Diseases of the respiratory system,2009,0.69
Mayo,Diseases of the respiratory system,2010,0.96
Mayo,Diseases of the respiratory system,2011,0.73
Mayo,Diseases of the respiratory system,2012,0.9
Mayo,Diseases of the respiratory system,2013,0.98
Mayo,Diseases of the respiratory system,2014,0.81
Mayo,Diseases of the respiratory system,2015,0.78
Mayo,Diseases of the respiratory system,2016,0.95
Mayo,External causes of injury and poisoning,2007,0.47
Mayo,External causes of injury and poisoning,2008,0.42
Mayo,External causes of injury and poisoning,2009,0.41
Mayo,External causes of injury and poisoning,2010,0.42
Mayo,External causes of injury and poisoning,2011,0.4
Mayo,External causes of injury and poisoning,2012,0.45
Mayo,External causes of injury and poisoning,2013,0.36
Mayo,External causes of injury and poisoning,2014,0.4
Mayo,External causes of injury and poisoning,2015,0.32
Mayo,External causes of injury and poisoning,2016,0.3
Roscommon,Neoplasms,2007,1.71
Roscommon,Neoplasms,2008,2.3
Roscommon,Neoplasms,2009,1.88
Roscommon,Neoplasms,2010,1.69
Roscommon,Neoplasms,2011,1.81
Roscommon,Neoplasms,2012,1.56
Roscommon,Neoplasms,2013,1.71
Roscommon,Neoplasms,2014,1.97
Roscommon,Neoplasms,2015,1.88
Roscommon,Neoplasms,2016,1.71
Roscommon,Diseases of the circulatory system,2007,2.3
Roscommon,Diseases of the circulatory system,2008,3.92
Roscommon,Diseases of the circulatory system,2009,2.24
Roscommon,Diseases of the circulatory system,2010,2.09
Roscommon,Diseases of the circulatory system,2011,2.12
Roscommon,Diseases of the circulatory system,2012,1.92
Roscommon,Diseases of the circulatory system,2013,2.21
Roscommon,Diseases of the circulatory system,2014,1.93
Roscommon,Diseases of the circulatory system,2015,1.97
Roscommon,Diseases of the circulatory system,2016,1.79
Roscommon,Diseases of the respiratory system,2007,0.78
Roscommon,Diseases of the respiratory system,2008,1.17
Roscommon,Diseases of the respiratory system,2009,0.75
Roscommon,Diseases of the respiratory system,2010,0.73
Roscommon,Diseases of the respiratory system,2011,0.76
Roscommon,Diseases of the respiratory system,2012,0.76
Roscommon,Diseases of the respiratory system,2013,0.74
Roscommon,Diseases of the respiratory system,2014,0.71
Roscommon,Diseases of the respiratory system,2015,0.86
Roscommon,Diseases of the respiratory system,2016,0.92
Roscommon,External causes of injury and poisoning,2007,0.54
Roscommon,External causes of injury and poisoning,2008,0.42
Roscommon,External causes of injury and poisoning,2009,0.34
Roscommon,External causes of injury and poisoning,2010,0.36
Roscommon,External causes of injury and poisoning,2011,0.22
Roscommon,External causes of injury and poisoning,2012,0.38
Roscommon,External causes of injury and poisoning,2013,0.36
Roscommon,External causes of injury and poisoning,2014,0.42
Roscommon,External causes of injury and poisoning,2015,0.27
Roscommon,External causes of injury and poisoning,2016,0.35
Sligo,Neoplasms,2007,1.95
Sligo,Neoplasms,2008,1.95
Sligo,Neoplasms,2009,1.84
Sligo,Neoplasms,2010,1.51
Sligo,Neoplasms,2011,2.0
Sligo,Neoplasms,2012,1.78
Sligo,Neoplasms,2013,2.06
Sligo,Neoplasms,2014,1.77
Sligo,Neoplasms,2015,2.11
Sligo,Neoplasms,2016,1.88
Sligo,Diseases of the circulatory system,2007,2.03
Sligo,Diseases of the circulatory system,2008,3.12
Sligo,Diseases of the circulatory system,2009,1.83
Sligo,Diseases of the circulatory system,2010,1.65
Sligo,Diseases of the circulatory system,2011,1.93
Sligo,Diseases of the circulatory system,2012,1.77
Sligo,Diseases of the circulatory system,2013,2.05
Sligo,Diseases of the circulatory system,2014,1.82
Sligo,Diseases of the circulatory system,2015,2.12
Sligo,Diseases of the circulatory system,2016,2.18
Sligo,Diseases of the respiratory system,2007,0.54
Sligo,Diseases of the respiratory system,2008,0.8
Sligo,Diseases of the respiratory system,2009,0.56
Sligo,Diseases of the respiratory system,2010,0.67
Sligo,Diseases of the respiratory system,2011,0.64
Sligo,Diseases of the respiratory system,2012,0.76
Sligo,Diseases of the respiratory system,2013,0.56
Sligo,Diseases of the respiratory system,2014,0.78
Sligo,Diseases of the respiratory system,2015,0.81
Sligo,Diseases of the respiratory system,2016,0.84
Sligo,External causes of injury and poisoning,2007,0.39
Sligo,External causes of injury and poisoning,2008,0.33
Sligo,External causes of injury and poisoning,2009,0.39
Sligo,External causes of injury and poisoning,2010,0.27
Sligo,External causes of injury and poisoning,2011,0.21
Sligo,External causes of injury and poisoning,2012,0.26
Sligo,External causes of injury and poisoning,2013,0.3
Sligo,External causes of injury and poisoning,2014,0.37
Sligo,External causes of injury and poisoning,2015,0.16
Sligo,External causes of injury and poisoning,2016,0.2
Cavan,Neoplasms,2007,1.91
Cavan,Neoplasms,2008,2.14
Cavan,Neoplasms,2009,1.65
Cavan,Neoplasms,2010,2.06
Cavan,Neoplasms,2011,1.84
Cavan,Neoplasms,2012,1.66
Cavan,Neoplasms,2013,1.83
Cavan,Neoplasms,2014,1.85
Cavan,Neoplasms,2015,1.87
Cavan,Neoplasms,2016,2.14
Cavan,Diseases of the circulatory system,2007,2.52
Cavan,Diseases of the circulatory system,2008,2.53
Cavan,Diseases of the circulatory system,2009,2.06
Cavan,Diseases of the circulatory system,2010,2.23
Cavan,Diseases of the circulatory system,2011,2.54
Cavan,Diseases of the circulatory system,2012,2.34
Cavan,Diseases of the circulatory system,2013,2.05
Cavan,Diseases of the circulatory system,2014,2.07
Cavan,Diseases of the circulatory system,2015,2.05
Cavan,Diseases of the circulatory system,2016,1.96
Cavan,Diseases of the respiratory system,2007,0.88
Cavan,Diseases of the respiratory system,2008,0.82
Cavan,Diseases of the respiratory system,2009,0.77
Cavan,Diseases of the respiratory system,2010,0.6
Cavan,Diseases of the respiratory system,2011,0.85
Cavan,Diseases of the respiratory system,2012,0.65
Cavan,Diseases of the respiratory system,2013,0.73
Cavan,Diseases of the respiratory system,2014,0.61
Cavan,Diseases of the respiratory system,2015,0.86
Cavan,Diseases of the respiratory system,2016,0.71
Cavan,External causes of injury and poisoning,2007,0.6
Cavan,External causes of injury and poisoning,2008,0.51
Cavan,External causes of injury and poisoning,2009,0.48
Cavan,External causes of injury and poisoning,2010,0.35
Cavan,External causes of injury and poisoning,2011,0.49
Cavan,External causes of injury and poisoning,2012,0.39
Cavan,External causes of injury and poisoning,2013,0.44
Cavan,External causes of injury and poisoning,2014,0.5
Cavan,External causes of injury and poisoning,2015,0.29
Cavan,External causes of injury and poisoning,2016,0.47
Donegal,Neoplasms,2007,1.75
Donegal,Neoplasms,2008,2.07
Donegal,Neoplasms,2009,1.89
Donegal,Neoplasms,2010,1.71
Donegal,Neoplasms,2011,1.79
Donegal,Neoplasms,2012,1.96
Donegal,Neoplasms,2013,1.86
Donegal,Neoplasms,2014,1.86
Donegal,Neoplasms,2015,1.83
Donegal,Neoplasms,2016,2.01
Donegal,Diseases of the circulatory system,2007,2.16
Donegal,Diseases of the circulatory system,2008,2.44
Donegal,Diseases of the circulatory system,2009,2.12
Donegal,Diseases of the circulatory system,2010,2.27
Donegal,Diseases of the circulatory system,2011,1.88
Donegal,Diseases of the circulatory system,2012,2.05
Donegal,Diseases of the circulatory system,2013,2.07
Donegal,Diseases of the circulatory system,2014,1.99
Donegal,Diseases of the circulatory system,2015,2.01
Donegal,Diseases of the circulatory system,2016,1.96
Donegal,Diseases of the respiratory system,2007,0.69
Donegal,Diseases of the respiratory system,2008,1.07
Donegal,Diseases of the respiratory system,2009,0.69
Donegal,Diseases of the respiratory system,2010,0.74
Donegal,Diseases of the respiratory system,2011,0.84
Donegal,Diseases of the respiratory system,2012,0.81
Donegal,Diseases of the respiratory system,2013,0.65
Donegal,Diseases of the respiratory system,2014,0.82
Donegal,Diseases of the respiratory system,2015,0.82
Donegal,Diseases of the respiratory system,2016,0.71
Donegal,External causes of injury and poisoning,2007,0.31
Donegal,External causes of injury and poisoning,2008,0.29
Donegal,External causes of injury and poisoning,2009,0.3
Donegal,External causes of injury and poisoning,2010,0.26
Donegal,External causes of injury and poisoning,2011,0.24
Donegal,External causes of injury and poisoning,2012,0.28
Donegal,External causes of injury and poisoning,2013,0.29
Donegal,External causes of injury and poisoning,2014,0.35
Donegal,External causes of injury and poisoning,2015,0.32
Donegal,External causes of injury and poisoning,2016,0.24
Monaghan,Neoplasms,2007,1.6
Monaghan,Neoplasms,2008,1.7
Monaghan,Neoplasms,2009,1.8
Monaghan,Neoplasms,2010,1.7
Monaghan,Neoplasms,2011,1.89
Monaghan,Neoplasms,2012,1.72
Monaghan,Neoplasms,2013,1.75
Monaghan,Neoplasms,2014,1.83
Monaghan,Neoplasms,2015,1.55
Monaghan,Neoplasms,2016,1.72
Monaghan,Diseases of the circulatory system,2007,2.55
Monaghan,Diseases of the circulatory system,2008,2.48
Monaghan,Diseases of the circulatory system,2009,2.28
Monaghan,Diseases of the circulatory system,2010,2.21
Monaghan,Diseases of the circulatory system,2011,1.98
Monaghan,Diseases of the circulatory system,2012,2.04
Monaghan,Diseases of the circulatory system,2013,2.08
Monaghan,Diseases of the circulatory system,2014,2.04
Monaghan,Diseases of the circulatory system,2015,1.88
Monaghan,Diseases of the circulatory system,2016,2.24
Monaghan,Diseases of the respiratory system,2007,0.79
Monaghan,Diseases of the respiratory system,2008,0.8
Monaghan,Diseases of the respiratory system,2009,0.95
Monaghan,Diseases of the respiratory system,2010,0.71
Monaghan,Diseases of the respiratory system,2011,0.79
Monaghan,Diseases of the respiratory system,2012,0.69
Monaghan,Diseases of the respiratory system,2013,0.69
Monaghan,Diseases of the respiratory system,2014,0.92
Monaghan,Diseases of the respiratory system,2015,0.82
Monaghan,Diseases of the respiratory system,2016,0.59
Monaghan,External causes of injury and poisoning,2007,0.5
Monaghan,External causes of injury and poisoning,2008,0.33
Monaghan,External causes of injury and poisoning,2009,0.43
Monaghan,External causes of injury and poisoning,2010,0.29
Monaghan,External causes of injury and poisoning,2011,0.36
Monaghan,External causes of injury and poisoning,2012,0.44
Monaghan,External causes of injury and poisoning,2013,0.41
Monaghan,External causes of injury and poisoning,2014,0.41
Monaghan,External causes of injury and poisoning,2015,0.37
Monaghan,External causes of injury and poisoning,2016,0.37
